id,name
36,".38 Special"
107,Alaska
6,Asia
96,"Benny Mardones"
115,"Blue Öyster Cult"
13,Boston
29,"Bryan Adams"
90,"Cheap Trick"
105,Cobra
117,"Cutting Crew"
89,"Eddie Money"
37,Europe
2,Foreigner
108,"Grand Prix"
15,Heart
95,Icon
21,"Jefferson Starship/Starship"
93,"Jimmy Barnes"
14,"Joe Lynn Turner"
113,"John Farnham"
32,"John Parr"
1,Journey
33,"Kenny Loggins"
26,"Kim Carnes"
16,"Le Roux"
99,"Little River Band"
22,Loverboy
30,Magnum
110,"Mark Free"
35,"Michael Bolton"
101,"Mike + the Mechanics"
100,"Mr. Mister"
4,"Night Ranger"
25,"Pat Benatar"
38,Petra
106,Phenomena
92,Prism
97,Quarterflash
91,Rainbow
34,"Richard Marx"
31,"Rick Springfield"
98,"Russ Ballard"
7,Saga
116,"Shooting Star"
112,Shy
111,"Stan Bush"
103,"Steel Breeze"
24,Strangeways
94,Streets
23,Styx
3,Survivor
104,"Tané Cain"
109,"Tim Feehan"
5,Toto
8,Triumph
114,"Uriah Heep"
102,"Van Zant"
